title,price,registration,location,benzin,mileage,power,gefunden
BMW 318 i F30 M SPORT FACELIFT ALCANTARA 8XALU SHEFT,17.990 €,EZ 08/2016,97265 Hettstadt,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",56.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 *LED*PDC*KLIMA*LIMITER*ALU*GARANTIE,20.710 €,EZ 02/2018,90441 Nürnberg,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",11.850 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i ADVANTAGE NAVI+LED+SHZ+PDC+17,24.711 €,EZ -/2019,80636 München,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* , C",24.900 km,ca. 100 kW (136PS),gefunden auf hey.car
BMW 318 i ADVANTAGE NAVI+LED+SHZ+PDC+17,24.711 €,EZ -/2019,,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* , C",24.900 km,ca. 100 kW (136PS),gefunden auf hey.car Online-Kauf
BMW 318 i Lim. Advantage LED~HEADUP~NAVI~AHK~SHZ~,18.899 €,EZ 02/2017,44141 Dortmund,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",54.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i M Sport/M Paket SHADOW+NAVI+LED+KOMFORTZ+19,18.450 €,EZ 03/2017,36179 Bebra,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",59.586 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Luxury Line,18.300 €,EZ 12/2017,67304 Eisenberg,"Benzin, ca. 5,4 l/100 km (komb.)* ",69.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i ADVANTAGE NAVI+LED+SHZ+PDC+17,23.711 €,EZ 03/2019,91413 Neustadt/Aisch,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* , C",24.900 km,ca. 100 kW (136PS),gefunden auf hey.car
BMW 318 i Navi Head-Up Display Surround-Kamerasystem,19.890 €,EZ 07/2018,47443 Moers,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* ",107.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Advantage LED - Spurwechsel. - Totwinkel - Schec,16.990 €,EZ 08/2016,56070 Koblenz/Rh.,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 120 g CO₂/km (komb.)* ",118.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Lim. |1.Hand|NAVI|PDC|ALU|TÜV NEU,12.980 €,EZ 08/2016,36367 Wartenberg-Angersbach,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",169.892 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Comfort Edition,22.000 €,EZ 05/2018,78647 Trossingen,"Benzin, ca. 8,0 l/100 km (komb.)* ",63.000 km,ca. 85 kW (116PS),gefunden auf autoscout24.de
