title,price,registration,location,benzin,mileage,power,gefunden
Nissan Leaf e+ Tekna 62KW Leder-BOSE-Winterpkt.-LED,29.990 €,EZ 05/2021,22159 Hamburg,"Elektro, ca. 0 g CO₂/km (komb.)*, A+",16.177 km,ca. 160 kW (218PS),gefunden auf autoscout24.de
Mini Cooper S Countryman Cooper S E ALL4 Countryman,29.800 €,EZ 05/2020,74653 Ingelfingen,"Hybrid, ca. 1,9 l/100 km (komb.)*, ca. 43 g CO₂/km (komb.)*",43.925 km,ca. 100 kW (136PS),gefunden auf MINI
Renault ZOE 41 kW Life Batteriemiete NAVI LM PDC SHZ,11.388 €,EZ 07/2019,82031,"Elektro, ca. 0 g CO₂/km (komb.)*",42.950 km,ca. 43 kW (58PS),gefunden auf Autoscout24 Smyle
VW Golf E- CCS+WÄRMEP+F.ASSIST+DIGI+DAB+LED+RFK,18.410 €,EZ -/2018,91413 Neustadt /Aisch,"Elektro, ca. 0 g CO₂/km (komb.)*, A+++",72.000 km,ca. 100 kW (136PS),gefunden auf hey.car
Opel Astra GSe Plug-in-Hybrid,44.990 €,EZ -/2023,38126 Braunschweig,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",7.730 km,ca. 132 kW (179PS),gefunden auf hey.car
"Hyundai Ioniq 5 MJ22 AWD 77,4kWh Uniq Paket / Technic paket / Assistenz-Paket / 20 Inch / Panodach Full Options",58.100 €,EZ -/2022,77855 Achern,"Elektro, ca. 19,1 kWh/100 km (komb.)*, ca. 0 g CO₂/km (komb.)*, A+++",100 km,ca. 239 kW (325PS),gefunden auf hey.car
"2 Long Range Single Engine NP:56.195,-//PILOT-LITE",41.990 €,EZ -/2022,50968 Köln,"Elektro, ca. 0 g CO₂/km (komb.)*",8.950 km,ca. 170 kW (231PS),gefunden auf hey.car
Audi e-tron GT quattro exclusive/Luft/21''/Matrix/B&O/black/SHZ,99.970 €,EZ -/2022,36088 Hünfeld,"Elektro, ca. 0 g CO₂/km (komb.)*, A+++",5.000 km,ca. 350 kW (476PS),gefunden auf hey.car
Mercedes-Benz A 250 e 360 AMG NIGHT DISTR SPUR NAVI PANO PDC,36.940 €,EZ -/2021,24109 Kiel,"Hybrid, ca. 71,4 l/100 km (komb.)*, ca. 0 g CO₂/km (komb.)*",10.089 km,ca. 118 kW (160PS),gefunden auf hey.car
Audi A3 Sportback 40 e-tron sport S-tronic LED PDC VC SHZ,23.230 €,EZ -/2020,38644 Goslar,"Hybrid, ca. 2,0 l/100 km (komb.)*, ca. 46 g CO₂/km (komb.)*, A+++",25.003 km,ca. 150 kW (204PS),gefunden auf hey.car
VW Golf Style 1.4 eHybrid ACC Matrix AppConnect,31.480 €,EZ -/2022,64720 Michelstadt,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",10.000 km,ca. 150 kW (204PS),gefunden auf hey.car
Smart ForFour EQ EQ forfour,12.983 €,EZ -/2020,24109 Kiel,"Elektro, ca. 0 g CO₂/km (komb.)*",39.852 km,ca. 60 kW (82PS),gefunden auf hey.car
Audi A3 Sportback 40 TFSI e,23.899 €,EZ 07/2021,29525 Uelzen,"Hybrid, ca. 1,6 l/100 km (komb.)*, ca. 38 g CO₂/km (komb.)*, A+",37.865 km,ca. 150 kW (204PS),gefunden auf hey.car
