title,price,registration,location,benzin,mileage,power,gefunden
Mercedes-Benz E 300 e AMG WideScreen 360° Pano Burmester HUD 9G,49.980 €,EZ 08/2020,80807 München,"Hybrid, ca. 1,8 l/100 km (komb.)* , ca. 41 g CO₂/km (komb.)* , A+++",24.573 km,ca. 155 kW (211PS),gefunden auf autoscout24.de
BMW 330 e M Sport Stop&Go HUD Alarm CockpitProf HiFi,35.999 €,EZ 02/2020,82031,"Hybrid, ca. 36 g CO₂/km (komb.)* , A+",57.309 km,ca. 215 kW (292PS),gefunden auf Autoscout24 Smyle
Mercedes-Benz EQE 300 AMG Night Burmester DigitalLight,68.450 €,EZ -/2022,24768 Rendsburg,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",6.000 km,ca. 180 kW (245PS),gefunden auf hey.car
Audi A3 Sportback 40 e-tron sport Smartphone-Interf.,25.370 €,EZ -/2020,80636 München,"Hybrid, ca. 2,0 l/100 km (komb.)* , ca. 46 g CO₂/km (komb.)* , A+",25.130 km,ca. 150 kW (204PS),gefunden auf hey.car
Cupra Born (231 ) h DINAMICA|TECH L|PILOT M,45.540 €,EZ -/2023,91126 Schwabach,"Elektro, ca. 17,3 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",13.888 km,ca. 170 kW (231PS),gefunden auf hey.car
VW Golf VIII 1.4 TSI GTE eHybrid Navi. AHK. Panoram,35.980 €,EZ -/2022,87437 Kempten,"Hybrid, ca. 66,7 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",10.500 km,ca. 110 kW (150PS),gefunden auf hey.car
VW Golf 8 1.4 e-hybrid GTE 5-J-G. LED NAVI ACC KLIMA 17,31.350 €,EZ -/2022,80636 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 38 g CO₂/km (komb.)* , A+++",3.650 km,ca. 180 kW (245PS),gefunden auf hey.car
VW Golf VIII GTE DSG Navi LED e-Sound,25.290 €,EZ -/2021,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 34 g CO₂/km (komb.)* , A+++",22.500 km,ca. 110 kW (150PS),gefunden auf hey.car
Hyundai Ioniq FL Elektro PRIME-Paket Glasschiebe Dach,26.388 €,EZ -/2021,80636 München,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",14.680 km,ca. 100 kW (136PS),gefunden auf hey.car
VW Golf VIII GTE eHybrid 1.4 TSI DSG Navi LED PDC,27.950 €,EZ -/2021,37081 Göttingen,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 34 g CO₂/km (komb.)* , A+++",16.633 km,ca. 110 kW (150PS),gefunden auf hey.car
Mercedes-Benz EQS AMG NightP Digital-Light,80.900 €,EZ -/2022,97076 Würzburg,"Elektro, ca. 19,8 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",4.152 km,ca. 245 kW (333PS),gefunden auf hey.car
Mercedes-Benz A 250 e +AMG+Night+Kamera+PDC+Navi+SD+LED+SHZ+LM,37.350 €,EZ -/2022,49377 Vechta,"Hybrid, ca. 1,0 l/100 km (komb.)* , ca. 24 g CO₂/km (komb.)* , A+",18.900 km,ca. 118 kW (160PS),gefunden auf hey.car
Audi A3 Sportback 40 e-tron sport S-tronic LED PDC VC SHZ,23.000 €,EZ -/2020,80636 München,"Hybrid, ca. 2,0 l/100 km (komb.)* , ca. 46 g CO₂/km (komb.)* , A+++",25.003 km,ca. 150 kW (204PS),gefunden auf hey.car
Mercedes-Benz EQE 350 AMG Burmester DigitalLight,77.950 €,EZ -/2022,80636 München,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",9.000 km,ca. 215 kW (292PS),gefunden auf hey.car
Mercedes-Benz C 300 e Lim Avantgarde AHK Adv.Info Assist,44.750 €,EZ -/2022,80636 München,"Hybrid, ca. 13 g CO₂/km (komb.)* , A+",11.393 km,ca. 150 kW (204PS),gefunden auf hey.car
Porsche Panamera 4S E-Hybrid | Sportabgasanlage | BOSE |,111.790 €,EZ -/2022,80636 München,"Hybrid, ca. 2,0 l/100 km (komb.)* , ca. 47 g CO₂/km (komb.)* , A+++",27.300 km,ca. 412 kW (560PS),gefunden auf hey.car
Mercedes-Benz A 250 e AMG Multibeam MBUX-AR Ambi 360° Memory,30.950 €,EZ -/2020,97424 Schweinfurt,"Hybrid, ca. 71,4 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",42.210 km,ca. 118 kW (160PS),gefunden auf hey.car
Smart ForFour EQ EQ forfour EXCLUSIVE SCHEIN,21.000 €,EZ -/2021,41515 Grevenbroich,"Elektro, ca. 0 g CO₂/km (komb.)* ",9.950 km,ca. 60 kW (82PS),gefunden auf hey.car
Renault Austral Techno Esprit Alpine Mild Hybrid 160 Aut,43.490 €,EZ -/2022,04416 Wachau/Markkleeberg,"Hybrid, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* ",24.590 km,ca. 116 kW (158PS),gefunden auf hey.car
Mercedes-Benz EQE 43 AMG BURMESTER °,88.450 €,EZ -/2022,23795 Bad Segeberg,"Elektro, ca. 0 g CO₂/km (komb.)* , A+++",4.886 km,ca. 350 kW (476PS),gefunden auf hey.car
VW Golf GTE NAVI LED+ ERGOACTIVE PDC,22.455 €,EZ -/2020,80636 München,"Hybrid, ca. 21 g CO₂/km (komb.)* , A+++",32.500 km,ca. 150 kW (204PS),gefunden auf hey.car
VW ID.4 Pure Navi LED Einparkhilfe Climatronic,31.380 €,EZ -/2021,80636 München,"Elektro, ca. 15,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",4.770 km,ca. 109 kW (148PS),gefunden auf hey.car
Audi A7 Sportback 55 TFSI e S line Laser|Pano|HuD|B&O,66.970 €,EZ -/2020,80636 München,"Hybrid, ca. 2,1 l/100 km (komb.)* , ca. 48 g CO₂/km (komb.)* , A+++",3.024 km,ca. 270 kW (367PS),gefunden auf hey.car
