title,price,registration,location,benzin,mileage,power,gefunden
BMW 330 eA Limousine Luxury Line AHK GSD DA+PA+HiFi LED,31.880 €,EZ 07/2020,40721 Hilden,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+++",45.038 km,ca. 215 kW (292PS),gefunden auf autoscout24.de
BMW 330 e Limousine Hybrid Sport Line H&K Glasdach,35.150 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",76.430 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330 E A Navi digitales Cockpit Soundsystem LED K,33.999 €,EZ 12/2020,63322 Rödermark,Hybrid,45.982 km,ca. 218 kW (296PS),gefunden auf mobile.de
BMW 330 e Limousine Hybrid Sport Line H&K Glasdach,35.150 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",76.430 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330e Limousine M Sport HK HiFi DAB WLAN Shz PDC,34.500 €,EZ -/2020,80636 München,"Hybrid, ca. 1,6 l/100 km (komb.)* , ca. 37 g CO₂/km (komb.)* ",60.712 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330e xDrive Berlina Advantage HiFi DAB Tempomat,30.350 €,EZ -/2021,80636 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 40 g CO₂/km (komb.)* ",44.495 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330e Limousine M Sport Head-Up HK HiFi DAB WLAN,36.450 €,EZ -/2020,80636 München,"Hybrid, ca. 1,6 l/100 km (komb.)* , ca. 36 g CO₂/km (komb.)* ",58.460 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330,33.600 €,EZ -/2020,80636 München,"Hybrid, ca. 0 g CO₂/km (komb.)* , A+",60.519 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330 e Sport Line %AKTION% Laser HUD Navi digitales Cockpit,32.540 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* , A+++",73.576 km,ca. 185 kW (252PS),gefunden auf hey.car
BMW 330 e Limousine M Sport HUD Navi Laser digitales Cockpit Memory Sitze Hifi,40.530 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",16.896 km,ca. 135 kW (184PS),gefunden auf hey.car
BMW 330 e Limousine M Sport HUD Navi digitales Cockpit Memory Sitze h/k LED,36.040 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",33.279 km,ca. 135 kW (184PS),gefunden auf hey.car
BMW 330 e Luxury HUD AHK-klappbar Navi digitales Cockpit Soundsystem HarmanKardon,35.040 €,EZ -/2020,80636 München,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+",10.155 km,ca. 135 kW (184PS),gefunden auf hey.car
BMW 330e Limousine Sport Line Head-Up HiFi DAB WLAN,33.450 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* ",48.005 km,ca. 215 kW (292PS),gefunden auf hey.car
"BMW 330 e, M-Paket, HUD, Memory, H/K, Parklenkassist, Kamera, LED",39.040 €,EZ -/2019,80636 München,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+",39.195 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330e Limousine M Sport Head-Up HK HiFi DAB WLAN,35.500 €,EZ -/2020,80636 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 38 g CO₂/km (komb.)* ",67.251 km,ca. 215 kW (292PS),gefunden auf hey.car
"BMW 330 e Limousine, Sport Line, Park-Ass+, Driv. Ass Prof, Navi, uvm.",28.840 €,EZ -/2019,80636 München,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+",83.175 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330e Lim M Sport LiveCockpitProf HiFi RFK Alarm,36.450 €,EZ -/2020,80636 München,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* ",42.191 km,ca. 215 kW (292PS),gefunden auf hey.car
BMW 330 e Limousine Sport Line HUD Laserlicht Blendfreies Fernl. Kurvenlicht,29.890 €,EZ -/2020,80636 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 37 g CO₂/km (komb.)* , A+",91.351 km,ca. 135 kW (184PS),gefunden auf hey.car
BMW 330 e Sport-Aut. Luxury Line /LiCkpPro/DrvAsPro,27.900 €,EZ -/2019,80636 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 34 g CO₂/km (komb.)* , A+",99.630 km,ca. 135 kW (184PS),gefunden auf hey.car
BMW 330 e M-Sport AHK LED DAB+ Live Cockpit ACC DA+,32.401 €,EZ -/2019,01968 Senftenberg,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+",45.024 km,ca. 185 kW (252PS),gefunden auf hey.car
BMW 320,32.600 €,EZ -/2021,80636 München,"Hybrid, ca. 18,1 l/100 km (komb.)* , ca. 41 g CO₂/km (komb.)* , A+",65.000 km,ca. 150 kW (204PS),gefunden auf hey.car
BMW 320,29.950 €,EZ -/2021,80636 München,"Hybrid, ca. 18,1 l/100 km (komb.)* , ca. 41 g CO₂/km (komb.)* , A+",58.455 km,ca. 150 kW (204PS),gefunden auf hey.car
BMW 330 eA Limousine Luxury Line AHK GSD DA+PA+HiFi LED,31.880 €,EZ 07/2020,40721 Hilden,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 43 g CO₂/km (komb.)* , A+++",45.038 km,ca. 215 kW (292PS),gefunden auf autoscout24.de
BMW 330 E A Navi digitales Cockpit Soundsystem LED K,33.999 €,EZ 12/2020,63322 Rödermark,Hybrid,45.982 km,ca. 218 kW (296PS),gefunden auf mobile.de
BMW 330e Limousine M Sport Gestiksteuerung Head-Up,36.482 €,EZ 12/2019,80939 München,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 38 g CO₂/km (komb.)* ",55.806 km,ca. 215 kW (292PS),gefunden auf mobile.de
BMW 330e M Sport Automatik Laserlicht Head-Up Komfor,28.960 €,EZ 06/2020,79312 Emmendingen,"Hybrid, ca. 1,5 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* ",84.726 km,ca. 135 kW (184PS),gefunden auf mobile.de
BMW 330e Limousine Sport Line Head-Up HK HiFi Shz,32.450 €,EZ 07/2020,67071 Ludwigshafen,"Hybrid, ca. 1,7 l/100 km (komb.)* , ca. 38 g CO₂/km (komb.)* ",59.430 km,ca. 215 kW (292PS),gefunden auf mobile.de
BMW 330e Limousine Sport Line,33.990 €,EZ 12/2019,40237 Düsseldorf,"Hybrid, ca. 1,6 l/100 km (komb.)* , ca. 37 g CO₂/km (komb.)* ",62.722 km,ca. 215 kW (292PS),gefunden auf mobile.de
BMW 330 e xDrive M Sport Lim.,54.790 €,EZ 04/2023,95643 Tirschenreuth,Hybrid,4.215 km,ca. 215 kW (292PS),gefunden auf mobile.de
BMW 330e Limousine M Sportpaket,48.099 €,EZ 09/2022,45141 Essen,Hybrid,26.313 km,ca. 215 kW (292PS),gefunden auf mobile.de
BMW Active Hybrid 3 225xe Active Tourer Sport Line Navi ACC Hifi LED,20.420 €,EZ 12/2019,95447 Bayreuth,"Hybrid, ca. 1,9 l/100 km (komb.)* , ca. 42 g CO₂/km (komb.)* , A+",65.188 km,ca. 100 kW (136PS),gefunden auf mobile.de
BMW 330e Limo M Sport LED PDC DrivAssProf Sportpaket,27.980 €,EZ 10/2020,33334 Gütersloh,Hybrid,115.490 km,ca. 215 kW (292PS),gefunden auf mobile.de
