title,price,registration,location,benzin,mileage,power,gefunden
VW Golf Volkswagen VII JOIN 1.4 TSI DSG Fahrass+ Standh. Navi LED,17.490 €,EZ 03/2018,48683 Ahaus,"Benzin, ca. 5,3 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* , B",86.031 km,ca. 92 kW (125PS),gefunden auf autoscout24.de
Mini Cooper S 5-Türer,28.280 €,EZ 07/2023,40721 Hilden,"Benzin, ca. 0 g CO₂/km (komb.)* ",11.316 km,ca. 131 kW (178PS),gefunden auf MINI
Skoda Fabia Classic--1.HAND---KLIMA--EURO4--FESTPREIS,2.750 €,EZ 08/2009,94469 Deggendorf,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 140 g CO₂/km (komb.)* ",93.800 km,ca. 44 kW (60PS),gefunden auf mobile.de
Audi A5 Sportback 35 TDI advanced S line Navi Matrix R-,35.570 €,EZ -/2021,,"Diesel, ca. 4,0 l/100 km (komb.)* , ca. 105 g CO₂/km (komb.)* , A+",24.198 km,ca. 120 kW (163PS),gefunden auf hey.car Online-Kauf
Mercedes-Benz C 200 AMG+MULTIBEAM+KAMERA+TEMP+SHZ+AMBI+CARPLAY,37.523 €,EZ -/2019,,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 135 g CO₂/km (komb.)* , B",21.012 km,ca. 135 kW (184PS),gefunden auf hey.car Online-Kauf
Audi e-tron Sportback 50 quattro S-LINE*MATRIX*ACC*AHK*HUD*VIRTUAL*LUFT*NAVI+*,50.285 €,EZ -/2021,,"Elektro, ca. 23,1 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",34.400 km,ca. 230 kW (313PS),gefunden auf hey.car Online-Kauf
Renault Megane E-Tech 100% electric Techno EV60 NAVI SHZ,41.360 €,EZ -/2023,,"Elektro, ca. 16,1 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",7.000 km,ca. 160 kW (218PS),gefunden auf hey.car Online-Kauf
Audi A3 Sportback 40 TFSI quattro S line S-tronic Panor,48.880 €,EZ -/2023,,"Benzin, ca. 6,8 l/100 km (komb.)* , ca. 155 g CO₂/km (komb.)* , C",4.444 km,ca. 140 kW (190PS),gefunden auf hey.car Online-Kauf
Audi A6 40 TDI quattro sport Navi Matrix R-Kamera LED,51.570 €,EZ -/2023,,"Diesel, ca. 5,0 l/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",22.575 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
"Audi A6 40 TDI design ACC,Matrix-LED,RFK Bluetooth Navi",49.880 €,EZ -/2023,,"Diesel, ca. 5,0 l/100 km (komb.)* , ca. 140 g CO₂/km (komb.)* , A",28.083 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
"Skoda Scala 1.5 TSI Monte Carlo LED, Panorama",20.330 €,EZ -/2021,,"Benzin, ca. 4,8 l/100 km (komb.)* , ca. 110 g CO₂/km (komb.)* , B",49.528 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW Golf 8 GTD BlackStyle 2.0TDI DSG Pano AHK Kamera,37.370 €,EZ -/2022,,"Diesel, ca. 4,4 l/100 km (komb.)* , ca. 117 g CO₂/km (komb.)* ",15.164 km,ca. 147 kW (200PS),gefunden auf hey.car Online-Kauf
Audi A4 Limo 30 TDI 2 x S LINE LED PANO LM18 KAMERA,30.630 €,EZ -/2021,,"Diesel, ca. 4,6 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",84.694 km,ca. 100 kW (136PS),gefunden auf hey.car Online-Kauf
Ford Focus Active 1.0 EB LED GJR Navi PDC SHZ LMF BT,20.930 €,EZ -/2019,,"Benzin, ca. 5,8 l/100 km (komb.)* , ca. 131 g CO₂/km (komb.)* , C",32.032 km,ca. 92 kW (125PS),gefunden auf hey.car Online-Kauf
"Audi A3 Sportback 35 TFSI GRA,SHZ,PDC Bluetooth Klima",28.580 €,EZ -/2022,,"Benzin, ca. 5,2 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* , A",9.812 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
Audi RS e-tron GT e-tron GT RS Q UPE177 LM21 CARBONDACH MASSAGE ALLRADLENKUNG,95.420 €,EZ -/2021,,"Elektro, ca. 20,6 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+++",1.056 km,ca. 440 kW (598PS),gefunden auf hey.car Online-Kauf
BMW 320d Limousine Sport Line DAB WLAN Tempomat Shz,29.350 €,EZ -/2020,,"Diesel, ca. 4,3 l/100 km (komb.)* , ca. 113 g CO₂/km (komb.)* ",62.336 km,ca. 140 kW (190PS),gefunden auf hey.car Online-Kauf
Audi A5 Sportback 40 TDI Q ADVANCED PANO LM19 ALCANTARA,41.230 €,EZ -/2023,,"Diesel, ca. 5,2 l/100 km (komb.)* , ca. 135 g CO₂/km (komb.)* ",28.644 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
