title,price,registration,location,benzin,mileage,power,gefunden
Seat Leon 1.5 eTSI FR Plus OPF LED+NAVI+AHK,34.040 €,EZ -/2023,,"Benzin, ca. 4,8 l/100 km (komb.)* , ca. 110 g CO₂/km (komb.)* , A",1.200 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
Mini Cooper S 5-Türer,21.789 €,EZ 10/2018,31137 Hildesheim,"Benzin, ca. 5,7 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , C",57.595 km,ca. 141 kW (192PS),gefunden auf MINI
Mini Cooper 5-Türer,21.290 €,EZ 08/2020,54516 Wittlich,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 114 g CO₂/km (komb.)* , B",52.988 km,ca. 100 kW (136PS),gefunden auf MINI
Mini ONE 5-Türer,16.900 €,EZ 07/2020,56564 Neuwied,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 115 g CO₂/km (komb.)* , B",30.945 km,ca. 75 kW (102PS),gefunden auf MINI
Mini Cooper S Sport Aut. DKG Klimaaut. Komfortzugang,27.760 €,EZ 02/2021,72160 Horb/Neckar,"Benzin, ca. 5,2 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* , B",14.207 km,ca. 141 kW (192PS),gefunden auf autoscout24.de
Mini ONE 5-Türer,13.890 €,EZ 05/2020,52078 Aachen,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 115 g CO₂/km (komb.)* , B",62.425 km,ca. 75 kW (102PS),gefunden auf MINI
Mini Cooper S 5-Türer,24.900 €,EZ 07/2020,56564 Neuwied,"Benzin, ca. 5,2 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* , B",29.615 km,ca. 141 kW (192PS),gefunden auf MINI
Seat Leon 1.5 eTSI FR Plus OPF LED+NAVI+AHK,34.040 €,EZ -/2023,,"Benzin, ca. 4,8 l/100 km (komb.)* , ca. 110 g CO₂/km (komb.)* , A",1.200 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
Audi RS5 Sportback *EUPE 120.570*Keramik*280 km/h*Matrix*Navi+*B&O*Pano*HUD*,64.590 €,EZ -/2020,,"Benzin, ca. 9,2 l/100 km (komb.)* , ca. 209 g CO₂/km (komb.)* ",71.127 km,ca. 331 kW (450PS),gefunden auf hey.car Online-Kauf
Cupra Leon VZ TSI DSG Panorama Kamera Beats ACC 19Zoll,33.000 €,EZ -/2022,,"Benzin, ca. 6,7 l/100 km (komb.)* , ca. 152 g CO₂/km (komb.)* ",9.290 km,ca. 221 kW (300PS),gefunden auf hey.car Online-Kauf
"Audi A3 sport 35 TDI S tronic Navi,Xenon,AssistenzP.",22.811 €,EZ -/2020,,"Diesel, ca. 4,4 l/100 km (komb.)* , ca. 116 g CO₂/km (komb.)* , B",83.850 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
Audi A8 L 60 TFSIe*EUPE 159.495*RSE*RSR*Pano*HUD*B&O*,93.590 €,EZ -/2022,,"Hybrid, ca. 51 g CO₂/km (komb.)* ",6.569 km,ca. 250 kW (340PS),gefunden auf hey.car Online-Kauf
VW T-Cross Life TSI DSG|LED|NAVI|ACC|SHZ|CLIMATRONI,24.690 €,EZ -/2023,,"Benzin, ca. 6,2 l/100 km (komb.)* , ca. 141 g CO₂/km (komb.)* , D",1.240 km,ca. 81 kW (110PS),gefunden auf hey.car Online-Kauf
BMW 120d xDrive Edition M Sport Shadow,24.290 €,EZ -/2019,,"Diesel, ca. 5,1 l/100 km (komb.)* , ca. 135 g CO₂/km (komb.)* , B",85.600 km,ca. 140 kW (190PS),gefunden auf hey.car Online-Kauf
Cupra Leon VZ TSI DSG Panorama Beats Kamera ACC VC 19,33.000 €,EZ -/2022,,"Benzin, ca. 6,7 l/100 km (komb.)* , ca. 152 g CO₂/km (komb.)* ",19.990 km,ca. 221 kW (300PS),gefunden auf hey.car Online-Kauf
